Nr.crt,Cod,Descriere extinsa,Brand,Valoare incentiv LEI
1,LAP80XL00E7RI,LAPTOP LENOVO 320-15IKB I5-7200U 4GB 1TB WIN 10,LENOVO,30
2,LAP80XR00KCRI,LAPTOP LENOVO 320-15IAP N3350 4GB 500GB FREE DOS,LENOVO,30
4,LAP80XH0088RI,LAPTOP LENOVO 320-15ISK I3-6006U 4GB 1 TB FREE DOS,LENOVO,30
5,LAP80X2007FRI,LAPTOP LENOVO 520S-14IKB I3-7100U 4GB 1TB WIN 10,LENOVO,30
6,LAP80XR017URI,LAPTOP LENOVO 320-15IAPV N4200 4GB 1TB WIN10,LENOVO,30
7,LAP80XV00B0RI,LAPTOP LENOVO 320-15AST A6-9220 4GB 500GB DOS,LENOVO,30
8,LAP80T700HNRI,LAPTOP LENOVO IP 110 N3710 4GB 500GB HD405 WIN10,LENOVO,30
9,TPC80SG005HRI,LAPTOP 2 IN 1 MIIX 310 ATOM Z8350 2GB 64GB WIN10,LENOVO,30
10,LAP81A8004XRI,LAPTOP LENOVO 720S-13IKB I5-7200U 8GB 256GB WIN 10,LENOVO,30
11,LAP80X2007MRI,LAPTOP LENOVO 520S-14IKB I5-7200U 4GB 1TB WIN 10,LENOVO,30
12,AIOF0D3002HRI,"ALL IN ONE LENOVO 23.8"" AMD A12-9720P 4GB 1TB W10",LENOVO,30
13,LAP81BF009TRI,LAPTOP LENOVO I5-8250U 8GB 1TB+128GB MX150 DOS,LENOVO,30
14,LAP80XM005CRI,LAPTOP LENOVO 320-17IKB I5-7200U 8GB 1TB FREE DOS,LENOVO,30
16,LAP80T70079RI,LAPTOP LENOVO 110 N3060 4GB 500GB FREE DOS,LENOVO,30
17,LAP80NV00YNRI,LAPTOP LENOVO Y700 I7-6700HQ 8GB 1TB GTX960M DOS,LENOVO,30
18,LAP80NV010PRI,LAPTOP LENOVO Y700 I7-6700HQ 8GB 256GB GTX960M 4GB,LENOVO,30
19,LAP80QQ01E2RI,LAPTOP LENOVO 100 I5-4288U 4GB 1TB FREE DOS,LENOVO,30
20,LAP80YL00B3RI,LAPTOP LENOVO 520-15IKB I7-7500U 4GB 1TB FREE DOS,LENOVO,30
21,TPC80VC001ARI,LENOVO YOGA 510 I3-7100U 4GB 1TB WIN,LENOVO,30
22,LAP80SV00U3RI,LAPTOP LENOVO 510-15IKB I7-7500U 4GB 1TB 940M FREE,LENOVO,30
23,TPC80X800X8RI,LAPTOP 2 IN 1 YOGA 520 I3-7130U 8GB 1TB+128GB W10,LENOVO,30
24,LAP80XR00BNRI,LAPTOP LENOVO 320-15IAP N3450 4GB 500GB FREE DOS,LENOVO,30
25,TPC81C30085RI,LAPTOP 2 IN 1 YOGA 720 I7-8550U 8GB 512GB WIN10,LENOVO,30
27,TPC80X800BARI,LAPTOP 2 IN 1 YOGA 520 I3-7100U 4GB 1TB WIN10,LENOVO,30
28,LAP80YL00AURI,LAPTOP LENOVO 520-15IKB I3-7100U 4GB 1TB FREE DOS,LENOVO,30
29,LAP80QQ01F5RI,LAPTOP LENOVO 100 I3-5005U 4GB 1TB GT 920M DOS,LENOVO,30
30,CLC90DQ003ARI,INTEL CELERON N3150 4G 500G INTEL HD NO OS,LENOVO,30
31,AIOF0D2005CRI,"AIO LENOVO 23.8""FHD 520-24IKU I3-6006U 1TB 8G",LENOVO,30
32,TPC80Y7003GRI,LAPTOP 2 IN 1 YOGA 920 I7-8550U 16GB 1TB WIN10,LENOVO,30
33,LAP80RU00LPRI,LAPTOP LENOVO 700 I7-6700HQ 8GB 1TB GTX950M 4GB,LENOVO,30
34,AIOF0D5004KRI,"AIO LENOVO 21.5""FHD 520-22IKU I3-6006U 1TB 4G",LENOVO,30
35,AIOF0D1009MRI,"AIO LENOVO 23.8""FHD 520-24IKL I5-7400T 1T 8G",LENOVO,30
36,LAP80QQ01E0RI,LAPTOP LENOVO 100-15IBD I5-4288U 8GB 1TB 920M DOS,LENOVO,30
37,LAP80QQ01GWRI,LAPTOP LENOVO 100-15IBD I5-4288U 4G 1TB FREEDOS,LENOVO,30
38,LAP80NV00TWRI,LAPTOP LENOVO I7-6700HQ 8GB 1TB+256GB GTX960M WIN,LENOVO,30
39,LAP80T7007ARI,LAPTOP LENOVO 110 N3710 4GB 500GB FREE DOS,LENOVO,30
40,CLC90G6001ERI,DESKTOP LENOVO 310-15IAP INTEL J3355 1TB 4GB,LENOVO,30
41,LAP80X2007HRI,LAPTOP LENOVO 520S-14IKB I3-7100U 4GB 1TB FREE DOS,LENOVO,30
42,TPC81C8006GRI,LAPTOP 2 IN 1 YOGA 520 I7-8550U 8GB 1TB+128GB WIN1,LENOVO,30
43,TPC80VF00CTRI,LAPTOP 2IN1 YOGA 910 I5-7200U 8GB 256GB WIN10 HOME,LENOVO,30
44,LAP80VR003BRI,LAPTOP LENOVO I7-7700HQ 8GB 1TB GTX1060 FREEDOS,LENOVO,30
45,LAP80W3003FRI,LAPTOP LENOVO 710S I5-7200U 8GB 512 GB 940MX WIN10,LENOVO,30
46,TPC80ML005WRI,LAPTOP 2 IN 1 YOGA 900S 6Y75 8GB 512GB WIN10 CH,LENOVO,30
47,LAP80TV028JRI,LAPTOP LENOVO 310-15IKB I7-7500U 4GB 1TB 920M FREE,LENOVO,30
48,TPC81C8006ERI,LAPTOP 2 IN 1YOGA 520 I5-8250U 8GB 1TB+128GB WIN10,LENOVO,30
49,TPC80X600A3RI,LAPTOP 2 IN 1 YOGA 720 I5 7500U 8GB 256GB WIN10,LENOVO,30
50,TPC80VF003URI,LAPTOP 2IN1 YOGA 910 I7-7500U 8GB 512GB WIN10 SILV,LENOVO,30
51,LAP80RU00NBRI,LAPTOP LENOVO 700 I7-6700HQ 8GB 1TB GTX950M DOS,LENOVO,30
52,LAP80XL00E5RI,LAPTOP LENOVO 320-15IKB I5-7200U 4GB 1TB FREE DOS,LENOVO,30
53,LAP80V10035RI,LAPTOP LENOVO Y910 I7-6700HQ 16GB 1+2X256 1070 WIN,LENOVO,30
55,CLC90G8004CRI,DESKTOP LENOVO 510-15IKL I3-7100 1TB 4GB,LENOVO,30
57,LAP80Q000DBRI,LAPTOP LENOVO Y700 17 I7-6700HQ 8GB 1TB GTX960M DO,LENOVO,30
58,LAP80YL00ATRI,LAPTOP LENOVO 520-15IKB I5-7200U 4GB 1TB 940MX DOS,LENOVO,30
59,LAP80SR00FWRI,LAPTOP LENOVO 500 I7-6500U 8GB 500GB GT 930M DOS,LENOVO,30
60,LAP80SM00U4RI,LAPTOP LENOVO 300 I7-6500U 8GB 500GB GT 920M DOS,LENOVO,30
61,LAP80XR00BWRI,LAPTOP LENOVO 320-15IAP N4200 4GB 500 GB FREE DOS,LENOVO,30
62,TPC80N4014CRI,LAPTOP 2 IN 1 YOGA 500 I3-5005U 4GB 1TB WIN10,LENOVO,30
63,LAP80L000C2RI,LAPTOP LENOVO G50-80 I3-4005U 4GB 1TB R5 M330 DOS,LENOVO,30
64,TPC80V60022RI,LAPTOP LENOVO 710-11IKB I5-7Y54 8GB 256SSD WIN10,LENOVO,30
65,TPC80VF003XRI,LAPTOP 2IN1 YOGA 910 I7-7500U 8GB 512GB WIN10 GOLD,LENOVO,30
66,LAP80V10037RI,LAPTOP LENOVO Y910 I7-6700HQ 32GB 1+2X256 1070 WIN,LENOVO,30
67,CLC90H7006URI,DESKTOP LENOVO LEGION I5-7400 1TB 8G GTX1050TI 4G,LENOVO,30
68,LAP80K600HGRI,LAPTOP LENOVO Z51-70 I7-5500U 8G 1TB M375 DOS,LENOVO,30
70,LAP80RV0095RI,LAPTOP LENOVO 700-17 I7-6700HQ 8GB 1TB GTX950M DOS,LENOVO,30
71,LAP80W3005PRI,LAPTOP LENOVO 710 I5-7200U 8GB 256SSD 940MX WIN10,LENOVO,30
72,LAP80NV015MRI,LAPTOP LENOVO Y700-15ISK I5-6300 8GB 1TB FREE-DOS,LENOVO,30
73,LAP80QQ0130RI,LAPTOP LENOVO 100 I3-5005U 4GB 500GB FREE DOS,LENOVO,30
74,LAP80N400U4RI,LAPTOP 2 IN 1 LENOVO YOGA500 I35005U 4GB 1TB WIN10,LENOVO,30
75,LAP80Q701E3RI,LAPTOP LENOVO 300 I7-6500U 4GB 1TB M330 FREE DOS,LENOVO,30
76,CLC90DD0032RI,INTEL I5 16G 2T+8G 256G SSD GTX 980 4G WIN 10,LENOVO,30
77,LAP80QQ00R2RI,LAPTOP LENOVO 100 I3-5005U 4GB 128GB FREE DOS,LENOVO,30
78,LAP80UD00KMRI,LAPTOP LENOVO 110 I3-6006U 4GB 500GB FREE DOS,LENOVO,30
80,CLC90DF002LRI,INTEL I7 8G 2T+8G GTX 960 2G WIN 10,LENOVO,30
81,AIOF0BB00HVRI,DESKTOP LN C20-00 N3150 500 4G,LENOVO,30
82,LAP80QQ00AWRI,LAPTOP LENOVO 100 I3-5005U 4GB 1TB WIN10,LENOVO,30
83,LAP80QQ00R1RI,LAPTOP LENOVO 100 I5-5200U 4GB 128GB FREE DOS,LENOVO,30
84,LAP80UV002MRI,LAPTOP LENOVO 510S I5-7200U 8GB 256GB FREE DOS,LENOVO,30
85,TPC80NR004MRI,LAPTOP 2 IN 1 MIIX300 Z3735F 2GB 64GB WIN10,LENOVO,30
86,LAP80MJ006CRI,LAPTOP LENOVO 100-15 N3540 4GB 500GB FREE DOS,LENOVO,30
87,LAP80W3003GRI,LAPTOP LENOVO 710S I7-7500U 8GB 512 GB 940MX WIN10,LENOVO,30
88,LAP59445827,LAPTOP LENOVO Y5070 I74720HQ 8GB 256GB GTX960M DOS,LENOVO,30
89,LAP80VR00JPRI,LAPTOP LENOVO I7-7700HQ 16GB 1TB+256GB GTX1060 W10,LENOVO,30
90,LAP80L0003GRI,LAPTOP LENOVO G5080 I3-4005U 4GB 1TB FREE DOS,LENOVO,30
3,LAP80WK007TRI,LAPTOP LENOVO Y520 I5-7300HQ 1TB 8GB GTX1050 FREE,LENOVO,50
15,LAP80WK007URI,LAPTOP LENOVO Y520 I7-7700HQ 1TB 8GB GTX1050 FREE,LENOVO,50
26,LAP80WY000JRI,LAPTOP LENOVO Y520-15IKBA I7-7700HQ 8GB 1TB DOS,LENOVO,50
56,LAP80WK0080RI,LAPTOP LENOVO Y520 I5-7300HQ 1TB 8GB GTX1050 FREE,LENOVO,50
69,LAP80WK0081RI,LAPTOP LENOVO Y520 I7-7700HQ 1TB 8GB GTX1050 FREE,LENOVO,50
79,CLC90H20024RI,DESKTOP LENOVO Y720 I5-7400 1TB 8GB GTX1060 6GB,LENOVO,50
